code,description_en,description_no
24323300,"Unsaturated monocarboxylic acids and compounds","Umettede monokarboksylsyrer og forbindelser"
24323310,"Esters of methacrylic acid","Ester av metakrylsyre"
24323320,"Esters of acrylic acid",Acrylsyreester
24323400,"Aromatic polycarboxylic and carboxylic acids","Aromatiske polykarboksylsyrer og karboksylsyrer"
24324000,"Organic compounds with nitrogen functions","Organiske forbindelser med nitrogenholdige grupper"
24324100,"Amine function compounds","Forbindelser med aminogrupper"
24324200,"Oxygen-function amino-compounds","Aminer inneholdende oksygenholdige grupper"
24324300,Ureines,Ureiner
24324400,"Compounds with nitrogen functions","Forbindelser med nitrogenholdige grupper"
24325000,"Organo-sulphur compounds","Organiske svovelforbindelser"
24326000,"Aldehyde, ketone, organic peroxides and ethers","Aldehyd, keton, organiske peroksider og etere"
24326100,"Aldehyde function compounds","Forbindelser med aldehydholdige grupper"
24326200,"Ketone and quinone function compounds","Forbindelser med keton- og quinonholdige grupper"
24326300,"Organic peroxides","Organiske peroksider"
24326310,"Ethylene oxide",Etylenoksid
24326320,Ethers,Etere
24327000,"Miscellaneous organic chemicals","Diverse organiske kjemikalier"
24327100,"Vegetable derivatives for dyeing","Vegetabilske derivater til farging"
24327200,"Wood charcoal",Trekull
24327300,"Oils and products of the distillation of high-temperature coal tar, pitch and pitch tar","Oljer og produkter fremstilt ved destillasjon av høytemperaturtjære, steinkullstjære og mineraltjære"
24327310,"Coal tar",Steinkulltjære
24327311,Creosote,Kreosot
24327320,Pitch,Bek
24327330,"Pitch tar",Tjærebek
24327400,"Resin products",Harpiksprodukter
24327500,"Residual lyes from the manufacture of wood pulp","Avfall slagg fra fremstillingen av tremasse"
24400000,"Fertilisers and nitrogen compounds","Gjødselstoffer og nitrogenforbindelser"
24410000,"Nitrogenous fertilisers","Nitrogen holdige gjødselstoffer"
24411000,"Nitric acid and salts","Salpetersyre og salter"
24411100,"Sodium nitrate",Natriumnitrat
24412000,"Sulphonitric acids",Nitrersyrer
24413000,Ammonia,Ammoniakk
24413100,"Liquid ammonia","Flytende ammoniakk"
24413200,"Ammonium chloride",Ammoniumklorid
24413300,"Ammonium sulphate",Ammoniumsulfat
24420000,"Phosphatic fertilisers","Fosforholdige gjødselstoffer"
24421000,"Mineral phosphatic fertilisers","Mineralske fosforholdige gjødselstoffer"
24422000,"Chemical phosphatic fertilisers","Kjemiske fosforholdige gjødselstoffer"
24430000,"Animal or vegetal fertilisers","Animalske eller vegetabilske gjødsel"
24440000,"Miscellaneous fertilisers","Diverse gjødsel"
24450000,"Agro-chemical products","Landbrukskjemiske produkter"
24451000,Pesticides,"Pesticider (skadedyrbekjempende kjemisk middel)"
24452000,Insecticides,Insekticider
24453000,Herbicides,Herbicider
24454000,"Plant-growth regulators","Plantevekst regulatorer"
24455000,Disinfectants,Desinfeksjonsmidler
24456000,Rodenticides,"Rotenticider (rottegift)"
24457000,Fungicides,Fungicider
24500000,"Plastics in primary forms","Basisplast, plast i primær form"
24510000,"Primary-form polymers of ethylene","Polymerer av etylen, i primær form"
24520000,"Primary-form polymers of propylene","Polymerer av propylen i primær form"
24530000,"Primary-form polymers of styrene","Polymerer av styren, i primær form"
24540000,"Primary-form of vinyl polymers","Vinylpolymerer i primær form"
24541000,"Primary-form polymers of vinyl acetate","Polymerer av vinylacetat i primær form"
24542000,"Primary-form acrylic polymers","Polymerer av akryl i primær form"
24550000,"Primary-form of polyesters","Polyester i primær form"
24560000,"Primary-form polyamides","Polyamider i primær form"
24570000,"Primary-form urea resins","Ureaharpikser i primær form"
24580000,"Primary-form amino-resins","Aminoharpikser i primær form"
24590000,"Primary-form silicones","Silikoner i primær form"
24600000,Explosives,Sprengstoffer
24610000,"Prepared explosives","Fabrikkerte sprengstoffer"
24611000,"Propellant powders",Krutt
24611100,"Propergol fuels","Propergol drivstoff (faste drivstoffer)"
24612000,"Miscellaneous explosives","Diverse sprengstoffer"
24612100,Dynamite,Dynamitt
24612200,TNT,"TNT (Trinitroglyserin)"
24612300,Nitro-glycerine,Nitroglyserin
24613000,"Signalling flares, rain rockets, fog signals and pyrotechnic articles","Signalraketter, regnraketter, tåkesignaler og pyrotekniske artikler"
24613100,"Bird-scaring cartridges","Skremmemeskudd patroner"
24613200,Fireworks,Fyrverkeri
24615000,"Fuses, caps, igniters and electric detonators","Lunter, sprengkapsler, tennsatser og elektriske detonatorer"
24900000,"Fine and various chemical products","Finkjemikalier og diverse kjemikalieprodukter"
24910000,Glues,Lim
24911000,Gelatines,Gelatin
24911200,Adhesives,Bindemiddel
24920000,"Essential oils","Eteriske oljer"
24930000,"Photographic chemicals",Fotokjemikalier
24931000,"Photographic plates and films","Fotografiske plater og film"
24931200,"Emulsions for photographic use","Emulsjoner til fotografisk bruk"
24931210,"Photographic developers","Fremkallingsvæsker til fotografisk bruk"
24931220,"Photographic fixers","Fiksermidler til fotografisk bruk"
24931230,"X-ray developers","Fremkallingsvæsker til røntgenfilm"
24931240,"X-ray fixers","Fiksermidler til røntgenfilm"
24931250,"Culture medium",Vekstmedium
24931260,"Image intensifiers",Bildeforsterkere
24950000,"Specialised chemical products","Særlige kjemiske preparater"
24951000,"Greases and lubricants","Fett og smøremidler"
24951100,Lubricants,Smøremidler
24951110,"Drilling mud",Boreslam
24951120,"Silicon grease",Silikonfett
24951130,"Drilling fluids",Borevæsker
24951200,"Additives for oils",Oljetilsetninger
24951210,"Fire-extinguisher powder",Brannslukkingspulver
24951220,"Fire-extinguisher agents",Brannslukkingsmidler
24951230,"Fire-extinguisher charges","Drivmidler til brannslukkere"
24951300,"Hydraulic fluids","Hydraulikk væsker"
24951310,"De-icing agents",Avisingsmidler
24951311,"Anti-freezing preparations","Frost beskyttelsesmidler"
24951400,"Chemically-modified fats and oils","Kjemisk modifiserte fettstoffer og oljer"
24952000,"Modelling pastes",Modellermasse
24952100,"Dental wax",Dentalvoks
24953000,"Finishing agents",Etterbehandlingsmidler
24954000,"Activated carbon","Aktivt kull"
24954100,"New activated carbon","Nytt aktivt kull"
24954200,"Regenerated activated carbon","Regenerert aktivt kull"
24955000,"Chemical toilets","Kjemiske toaletter"
24956000,"Peptones and protein substances","Peptoner og proteinstoffer"
24957000,"Chemical additives","Kjemiske tilsetninger"
24957100,"Prepared binders for foundry moulds or cores","Ferdige bindemidler til støpeformer eller støpekjerner"
24957200,"Additives for cements, mortars or concretes","Tilsetninger til sement, mørtel eller betong"
24958000,"Chemical products for the oil and gas industry","Kjemiske stoffer til olje- og gassindustrien"
24958100,"Downhole chemicals","Kjemikalier til bruk i borehuller"
24958200,"Flocculating agents",Flokkulleringsmidler
24958300,"Mud chemicals",Slamkjemikalier
24958400,"Gel ampoules for stemming explosives","Geleampuller til forladning av sprengemner"
24959000,"Aerosols and chemicals in disc form","Aerosoler og kjemikalier i skiveform"
24959100,Aerosols,Aerosoler
24959200,"Chemical elements in disc form","Kjemiske grunnstoffer i skiveform"
24960000,"Various chemical products","Diverse kjemiske produkter"
24961000,"Radiator fluids",Kjølevæsker
24962000,"Water-treatment chemicals","Kjemikalier til vannbehandling"
24963000,"Anti-corrosion products","Korrosjonshindrende produkter"
24964000,Glycerol,Glyserol
24965000,Enzymes,Enzymer
30000000,"Office and computing machinery, equipment and supplies except furniture and software packages","Kontor- og PC-maskineri, utstyr og forsyninger bortsett fra møbler og programvarepakker"
30100000,"Office machinery, equipment and supplies except computers, printers and furniture","Kontormaskineri, utstyr og forsyninger bortsett fra PC'er, printere og møbler"
30110000,"Word-processing machines",Tekstbehandlingsmaskiner
30111000,"Word processors",Tekstbehandlere
30120000,"Photocopying and offset printing equipment","Fotokopiering og offsettrykk utstyr"
30121000,"Photocopying and thermocopying equipment","Utstyr til kopiering og varmekopiering"
30121100,Photocopiers,Fotokopimaskiner
30121200,"Photocopying equipment",Kopieringsutstyr
30121300,"Reproduction equipment","Utstyr til mangfoldiggjørelse"
30121400,"Duplicating machines",Duplikatorer
30121410,"Faxswitch machines",Faksbrytermaskiner
30121420,"Digital senders",Digitalsendere
30121430,"Digital duplicators",Digitalduplikatorer
30122000,"Office-type offset printing machinery","Offsettmaskiner til kontorbruk"
30122100,"Digital offset systems",Digitaloffsetsystemer
30122200,"Digital offset equipments",Digitaloffsetutstyr
30123000,"Office and business machines","Kontormaskiner og forretningsmaskiner"
30123100,"Ticket-validation machines",Billettkontrollmaskiner
30123200,"Automatic cash dispensers",Pengeautomater
30123300,"Stencil duplicating machines",Stensilduplikatorer
30123400,"Folding machines",Foldemaskiner
30123500,"Perforation machines",Perforeringsmaskiner
30123600,"Coin-handling machines",Myntbehandlingsmaskiner
30123610,"Coin-sorting machines",Myntsorteringsmaskiner
30123620,"Coin-counting machines",Mynttellemaskiner
30123630,"Coin-wrapping machines",Myntpakkemaskiner
30124000,"Parts and accessories of office machines","Deler og tilbehør til kontormaskiner"
30124100,Fusers,Fikseringsenheter
30124110,"Fuser oil","Olje til fikseringsenheter"
30124120,"Fuser wiper","Kluter til fikseringsenheter"
30124130,"Fuser lamps","Lamper til fikseringsenheter"
30124140,"Fuser cleaning pad","Rensematter til fikseringsenheter"
30124150,"Fuser filters","Filtre til fikseringsenheter"
30124200,"Fuser kits",Fikseringsenhetssett
30124300,"Drums for office machine","Tromler til kontormaskiner"
30124400,"Staple cartridges","Stifter til stiftemaskin"
30124500,"Scanner accessories",Skannertilbehør
30124510,Endorsers,Endossenter
30124520,"Scanner document feeders","Papirileggingsutstyr til skannere"
30124530,"Scanner transparency adapters","Adaptere til transparenter"
30125000,"Parts and accessories of photocopying apparatus","Deler og tilbehør til kopieringsmaskiner"
30125100,"Toner cartridges",Tonerkassetter
30125110,"Toner for laser printers/fax machines","Toner til laserprintere/faxmaskiner."
30125120,"Toner for photocopiers","Toner til fotokopieringsmaskiner"
30125130,"Toner for data-processing and research and documentation centres","Toner til Dataprosesserings, Forsknings- og Dokumentasjonssentre"
30130000,"Post-office equipment","Utstyr til postkontor"
30131000,"Mailroom equipment","Utstyr til postrom"
30131100,"Paper or envelope folding machines","Papir- eller konvoluttfoldemaskiner"
30131200,"Envelope-stuffing machines",Kuverteringsmaskiner
30131300,"Addressing machines",Adresseringsmaskiner
30131400,"Postage machines",Frankeringsmaskiner
30131500,"Mail opening machines","Automatiske brevåpnere"
30131600,"Mail sealing machines","Automatiske brevlukkere"
30131700,"Stamp canceling machines",Frankeringsmaskiner
30131800,"Stamp affixers","Maskiner til frimerkepåsetting"
30132000,"Sorting equipment",Sorteringsutstyr
30132100,"Mail-sorting equipment",Brevsorteringsutstyr
30132200,"Banknote counting machines",Pengeseddelteller
30132300,Sorters,Sorteringsmaskiner
30133000,"Mailing equipment","Postforsendelse utstyr"
30133100,"Bulk-mailing equipment","Utstyr for masseutsendelse av post"
30140000,"Calculating and accounting machines","Regne- og bokholdermaskiner"
30141000,"Calculating machines",Regnemaskiner
30141100,"Pocket calculators",Lommekalkulatorer
30141200,"Desktop calculators",Bordkalkulatorer
30141300,"Printing calculators","Kalkulatorer med utskriftsfunksjoner"
30141400,"Adding machines",Summeringsmaskiner
30142000,"Accounting machines and cash registers","Regnskapsmaskiner og kassaapparater"
30142100,"Accounting machines",Regnskapsmaskiner
30142200,"Cash registers",Kasseapparater
30144000,"Calculation-type machines","Kalkuleringslignende maskiner"
30144100,"Postage-franking machines",Portofrankeringsmaskiner
30144200,"Ticket-issuing machines",Billettautomater
30144300,"Vehicle-counting machines","Maskiner til trafikktelling"
30144400,"Automatic fare collection","Automatisk avgiftsbetaling"
30145000,"Parts and accessories calculating machines","Deler og tilbehør til regnemaskiner"
30145100,"Calculator rolls","Ruller til kalkulator"
30150000,Typewriters,Skrivemaskiner
30151000,"Electronic typewriters","Elektroniske skrivemaskiner"
30152000,"Parts and accessories of typewriters","Deler og tilbehør til skrivemaskiner"
30160000,"Magnetic cards",Magnetkort
30161000,"Credit cards",Kredittkort
30162000,"Smart cards",Smartkort
30163000,"Charge cards","Betalkort eller debetkort"
30163100,"Agency fuel cards",Bensinkort
30170000,"Labelling machines",Etikettmaskiner
30171000,"Dating or numbering machines","Daterings- og nummereringsmaskiner"
30172000,"Identification ID press machines","Trykkemaskiner til fremstilling av identitetskort."
30173000,"Label applying machines","Maskiner til påsetting av etiketter/merkelapper"
30174000,"Label making machines","Maskiner til laging av etiketter/merkelapper"
30175000,"Lettering equipment","Utstyr til teksting"
30176000,"Tape embosser","Pregemaskiner til tape"
30177000,"Automatic labelling systems","Automatiske merkingssystemer"
30178000,"Semi automatic labelling systems","Halvautomatiske merkingssystemer"
30179000,"Label dispensers",Etikettdispensere
30180000,"Check endorsing and writing machines","Maskiner for endossering og påskrift av sjekker"
30181000,"Check endorsing machines","Maskiner for endossering av sjekker"
30182000,"Check writing machines","Maskiner for påskrift av sjekker"
30190000,"Various office equipment and supplies","Diverse kontorutstyr og -materiell"
30191000,"Office equipment except furniture","Kontorutstyr bortsett fra møbler"
30191100,"Filing equipment",Arkiveringsutstyr
30191110,"Card carousel systems",Kortkarrusellsystemer
30191120,"Magazine racks","Avis- og tidsskriftholdere"
30191130,Clipboards,"Skriveplater m/klype"
30191140,"Personal identification accessories","Tilbehør til personlige identifikationsmidler"
30191200,"Overhead projectors",Overheadprosjektorer
30191400,Shredders,Makullatorer
30192000,"Office supplies",Kontorutstyr
30192100,Erasers,Viskelær
30192110,"Ink products",Blekkprodukter
30192111,"Ink pads",Stempelputer
30192112,"Ink sources for printing machinery","Trykkfarge til skrivere"
30192113,"Ink cartridges",Blekkpatroner
30192130,Pencils,Blyanter
30192131,"Propelling or sliding pencils","Blyantpenner der spissen skrus eller trykkes frem"
30192132,"Pencil lead refills","Blypåfyll til blyanter"
30192133,"Pencil sharpeners",Blyantspissere
30192134,"Pencil holders",Blyantholdere
30192150,"Date stamps",Datostempel
30192151,"Sealing stamps",Forseglingsstempler
30192152,"Numbering stamps",Nummerstempler
30192153,"Phrase stamps",Tekststempler
30192154,"Replacement stamp pads","Refiller til stempelputer"
30192155,"Office stamp holders","Stempelholdere til kontorbruk"
30192160,Correctors,"Korrekturlakk og korrekturtape"
30192170,"Notice boards",Oppslagstavler
30192200,"Measuring tapes",Målebånd
30192300,"Ink ribbons",Fargebånd
30192310,"Typewriter ribbons","Fargebånd til skrivemaskiner"
30192320,"Printer ribbons","Fargebånd til printere"
30192330,"Calculator ribbons and drums","Fargebånd og ruller til regnemaskiner"
30192340,"Facsimile ribbons","Fargebånd til faksmaskiner"
30192350,"Cash register ribbons","Fargebånd til kassaapparater"
30192400,"Reprographic supplies","Reprografisk materiell"
30192500,"Overhead transparencies",Overheadtransparenter
30192600,"Drawing boards",Tegnebrett
30192700,Stationery,Kontorartikler
30192800,"Self-adhesive labels","Selvklebende etiketter"
30192900,"Correction media",Korrektturmidler
30192910,"Correction film or tape","Korrekturfilm eller korrekturtape"
30192920,"Correction fluid",Korrekturvæske
30192930,"Correction pens",Korrekturpenner
30192940,"Correction pen refills","Refiller til korrekturpenner"
30192950,"Electrical erasers","Elektriske viskelær"
30193000,"Organisers and accessories","Organiseringsutstyr og tilbehør"
30193100,"Desk drawer organisers","Inndelingsrom til skrivebordsskuffer"
30193200,"Desktop trays or organisers","Skrivebordskurver eller organiseringsutstyr"
30193300,"Hanging organisers",Hengemapper
30193400,"Book ends",Bokstøtter
30193500,"Literature rack",Litteraturreoler
30193600,"Support for diaries or calendars","Holdere til kalendertilbehør"
30193700,"File storage box",Arkivbokser
30193800,"Message holders",Beskjedholdere
30193900,"Copy holders",Manuskriptholdere.
30194000,"Drafting supplies",Tegneutstyr
30194100,Curves,Kurver
30194200,"Drafting dots, tapes and films","Tegnepunkter, bånd og filmer"
30194210,"Drafting dots or tapes","Tegnepunkter eller -bånd"
30194220,"Drafting films",Tegnefolie
30194300,"Drafting kits, sets and papers","Tegneutstyr, sett og papir"
30194310,"Drafting kits or sets","Tegneutstyr eller sett"
30194320,"Drafting papers",Tegnepapir
30194400,"Drafting table covers",Tegnebordsbeskyttelse
30194500,"Lettering aids",Skriftskabeloner
30194600,Protractors,Vinkelmålere
30194700,Templates,Skabeloner
30194800,"T-squares and triangles","Hovedlinjaler og triangler"
30194810,T-squares,Hovedlinjaler
30194820,Triangles,Triangler
30194900,"Work surface protection covers",Tegneunderlag
30195000,Boards,Tavler
30195100,"Planning boards or accessories","Planleggingstavler eller tilbehør"
30195200,"Electronic copyboards or accessories","Elektroniske tavler eller tilbehør"
30195300,"Letter boards or accessories","Informasjonstavler med utskiftelige bokstaver eller tilbehør."
30195400,"Dry erase boards or accessories","Whiteboardtavler eller tilbehør"
30195500,"Chalk boards or accessories","Krittavler eller tilbehør"
30195600,"Bulletin boards or accessories","Oppslagstavler eller tilbehør"
30195700,"Board cleaning kits or accessories","Utstyr til å vaske tavler, eller tilbehør"
30195800,"Hanging rails or holders","Opphengsskinner eller holdere"
30195900,"Whiteboards and magnetic boards","Whiteboardtavler og magnettavler"
30195910,Whiteboards,Whiteboardtavler
30195911,"Whiteboard accessories","Tilbehør til whiteboardtavler"
30195912,"Whiteboard easels","Whiteboard stativer"
30195913,"Flipchart easels","Stativer til flipovertavler"
30195920,"Magnetic boards",Magnettavler
30195921,"Erasers for magnetic boards","Rengjøringssett til magnettavler"
30196000,"Planning systems",Planleggingssystemer
30196100,"Meeting planners",Møteplanleggere
30196200,"Appointment books or refills","Avtalebøker eller løsark"
30196300,"Suggestion box",Forslagskasse
30197000,"Small office equipment","Mindre kontorutstyr"
30197100,"Staples, tacks, drawing pins","Heftestifter, stifter og tegnestifter"
30197110,Staples,"Heftestifter (krampe)"
30197120,Tacks,Stifter
30197130,"Drawing pins",Tegnestifter
30197200,"Ring binders and paper clips","Ringpermer og binderser"
30197210,"Ring binders",Ringpermer
30197220,"Paper clips",Binders
30197221,"Paperclip holder",Bindersholdere
30197300,"Letter openers, staplers and hole punches","Brevåpnere, stiftemaskiner og hullemaskiner"
30197310,"Letter openers",Brevåpnere
30197320,Staplers,Stiftemaskiner
30197321,"Staple removers",Stiftfjernere
30197330,"Hole punches",Hullemaskiner
30197400,"Stamp sponge",Stempelsvamp
30197500,"Sealing wax",Forseglingslakk
30197510,"Sealing wax accessories","Utstyr til forseglingslakk"
30197600,"Processed paper and paperboard","Behandlet papir og papp"
30197610,"Composite paper and paperboard","Sammensatt papir og -papp"
30197620,"Writing paper",Skrivepapir
30197621,"Flipchart pad",Flipchartblokk
30197630,"Printing paper",Trykkpapir
30197640,"Self-copy or other copy paper","Selvkopierende eller annet kopipapir"
30197641,"Thermographic paper","Termografisk papir"
30197642,"Photocopier paper and xerographic paper","Kopieringspapir og elektrografisk papir"
30197643,"Photocopier paper",Kopieringspapir
30197644,"Xerographic paper","Elektrografisk papir"
30197645,"Card for printing","Kort til trykking"
30198000,"Lottery machines",Lotterimaskiner.
30198100,"Pulling machines","Enarmet banditt"
30199000,"Paper stationery and other items","Papirprodukter til kontor og andre gjenstander"
30199100,"Carbon paper, self-copy paper, paper duplicator stencils and carbonless paper","Karbonpapir, selvkopierende papir, papirduplikatorstensiler og karbonfri papir"
30199110,"Carbon paper","Karbonpapir, blåpapir"
30199120,"Self-copy paper","Selvkopierende papir"
30199130,"Carbonless paper","Selvkopierende papir uten karbon"
30199140,"Paper duplicator stencils","Stensiler til papirduplikatorer"
30199200,"Envelopes, letter cards and plain postcards","Konvolutter, lukkede brevkort og vanlige postkort"
30199210,"Letter cards","Lukkede brevkort"
30199220,"Plain postcards","Vanlige postkort"
30199230,Envelopes,Konvolutter
30199240,"Mailing kit",Forsendelsessett
30199300,"Embossed or perforated paper","Preget eller perforert papir"
30199310,"Embossed or perforated printing paper","Preget eller perforert trykkpapir"
30199320,"Embossed or perforated writing paper","Preget eller perforert skrivepapir"
30199330,"Continuous paper for computer printers","Løpende papir til printere"
30199340,"Continuous forms","Løpende formularer/skjema"
30199400,"Gummed or adhesive paper","Gummibelakt eller selvklebende papir"
30199410,"Self-adhesive paper","Selvklebende papir"
30199500,"Box files, letter trays, storage boxes and similar articles","Arkiv kasser, brevkurver, oppbevaringskasser og lignende produkter"
30199600,"Dividers for stationery","Skilleark til papirvarer"
30199700,"Printed stationery except forms","Trykte kontormateriell, unntatt blanketter"
30199710,"Printed envelopes","Trykte konvolutter"
30199711,"Printed window envelopes","Trykte vinduskonvolutter"
30199712,"Printed non-window envelopes","Trykte konvolutter uten vindu"
30199713,"Printed X-ray envelopes","Trykte konvolutter til røntgenbilder"
30199720,Notepaper,Notispapir
30199730,"Business cards",Visittkort
30199731,"Business card holders",Visittkortholdere
30199740,"Compliment slips","Kort med påtrykt hilsen"
30199750,Coupons,Kuponger
30199760,Labels,Etiketter
30199761,"Bar-coded labels","Strekkode etiketter"
30199762,"Luggage tags","Bagasjemerker, adresselapper"
30199763,"Theft protection labels",Tyverisikringsmerker
30199770,"Luncheon vouchers",Lunsjkuponger
30199780,"Blotting pads",Skriveunderlag
30199790,Timetables,"Tid tabeller"
30199791,"Wall planners","Planleggingskalender for vegg"
30199792,Calendars,Kalendrer
30199793,"Diary stands",Kalenderstativer
30200000,"Computer equipment and supplies","Datautstyr og -materiell"
30210000,"Data-processing machines (hardware)","Databehandlingsmaskiner (maskinvare)"
30211000,"Mainframe computer",Stormaskiner
30211100,"Super computer",Superdatamaskin
30211200,"Mainframe hardware","Maskinvare til stormaskiner"
30211300,"Computer platforms",Dataplattformer
30211400,"Computer configurations","Konfigurasjoner til datamaskiner"
30211500,"Central processing unit (CPU) or processors","Central prosessing unit (CPU) eller prosessorer"
30212000,"Minicomputer hardware","Maskinvare til minidatamaskiner"
30212100,"Central processing units for minicomputers","CPU til minidatamaskiner"
30213000,"Personal computers","Personlige Datamaskiner (PC)"
30213100,"Portable computers","Bærbare datamaskiner"
30213200,"Tablet computer",Notatblokk-PC
30213300,"Desktop computer","Stasjonære datamaskiner"
30213400,"Central processing units for personal computers","CPU til PC'er"
30213500,"Pocket computers",Lommedatamaskiner
30214000,Workstations,Arbeidsstasjoner
30215000,"Microcomputer hardware","Maskinvare til mikro-datamaskiner"
30215100,"Central processing units for microcomputers","CPU til mikrodatamaskiner"
30216000,"Magnetic or optical readers","Magnetiske eller optiske lesere"
30216100,"Optical readers","Optiske lesere"
30216110,"Scanners for computer use","Scannere til datamaskiner"
30216120,"Optical-character-recognition equipment","Utstyr til optisk tegn gjenkjennelse"
30216130,"Barcode readers",Strekkodelesere
30216200,"Magnetic card readers",Magnetkortlesere
30216300,"Punchcard readers",Hullkortlesere
30220000,"Digital cartography equipment","Digitalt kartleggingsutstyr"
30221000,"Digital cadastral maps","Digitale matrikkelkort"
30230000,"Computer-related equipment","Utstyr relatert til datamaskiner"
30231000,"Computer screens and consoles","Dataskjermer og konsoller"
30231100,"Computer terminals",Datamaskinterminaler
30231200,Consoles,Konsoller
30231300,"Display screens",Dataskjermer
30231310,"Flat panel displays",Flatskjermer
30231320,"Touch screen monitors","Berøringsskjermer (touch screen)"
30232000,"Peripheral equipment","Eksternt utstyr (til PCer)"
30232100,"Printers and plotters","Skrivere og plottere"
30232110,"Laser printers",Laserprintere
30232120,"Dot-matrix printers",Matriseskrivere
30232130,"Colour graphics printers",Fargeskrivere
30232140,Plotters,Plottere
30232150,"Inkjet printers",Blekkskrivere
30232600,Encoders,Omkodere
30232700,"Central controlling unit",Sentralstyreenhet
30233000,"Media storage and reader devices","Oppbevaring av medier og leseredskap"
30233100,"Computer storage units","Lagerenheter til datamaskiner"
30233110,"Magnetic card storage units",Magnetkortlagerenheter
30233120,"Magnetic tape storage units",Magnetbåndlagerenheter
30233130,"Magnetic disk storage units",Magnetplatelagerenheter
30233131,"Floppy-disk drives",Diskettstasjoner
30233132,"Hard-disk drives",Harddisker
30233140,"Direct-access storage devices (DASD)","Direktelagringsenheter (DASD)"
30233141,"Redundant Array of Independent Disk (RAID)","RAID (Redundant Array Of Independent Disk)"
30233150,"Optical-disk drives","Optiske diskettstasjoner"
30233151,"Compact disk (CD) reader and/or burner","CD lesere og/eller brennere"
30233152,"Digital versatile disc (DVD) reader and/or burner","DVD lesere og/eller brennere"
30233153,"Compact disk (CD) and digital versatile disk (DVD) reader and/or burner","CD og DVD leser og/eller brenner"
30233160,"Tape streamers",Båndlagerenheter
30233161,"Cassette-handling equipment",Kassetthåndteringsutstyr
30233170,"Carousel units",Karusellenheter
30233180,"Flash memory storage devices","Flash minne lagringsenheter"
30233190,"Disk controller","Styreenhet for disker"
30233300,"Smart card readers",Smartkortlesere
30233310,"Fingerprint readers",Fingeravtrykkslesere
30233320,"Combined smart card and fingerprint readers","Kombinert smartkort- og fingeravtrykkslesere"
30234000,"Storage media",Lagringsmedia
30234100,"Magnetic disk","Magnetisk disk"
30234200,"Optical disks","Optiske plater"
30234300,"Compact disks (CDs)","CD'er (Compact disks)"
30234400,"Digital versatile disks (DVDs)","DVD'er (Digital versatile disks)"
30234500,"Memory storage media","Minnebaserte lagringsenheter"
30234600,"Flash memory","Flash minne"
30234700,"Magnetic tapes",Magnetbånd
30236000,"Miscellaneous computer equipment","Diverse edb-utstyr"
30236100,"Memory-expansion equipment","Utstyr til minneutbygging"
30236110,"Random access memory (RAM)","RAM (direkteaksessminne)"
30236111,"Dynamic random access memory (DRAM)","DRAM (dynamisk direkteaksessminne)"
30236112,"Static random access memory (SRAM)","SRAM (statisk direkteaksessminne)"
30236113,"Synchronous dynamic random access memory (SDRAM)","SDRAM (synkront dynamisk direkteaksessminne)"
30236114,"Rambus dynamic random access memory (RDRAM)","RDRAM (rambus dynamisk direkteaksessminne)"
30236115,"Synchronous graphic random access memory (SGRAM)","SGRAM (synkront grafisk direkteaksessminne)"
30236120,"Read only memory (ROM)","ROM (minne som kun kan leses)"
30236121,"Programmable read only memory (PROM)","PROM (programmerbart minne til kun lesing)"
30236122,"Erasable programmable read only memory (EPROM)","EPROM (programmerbart minne til kun lesing som kan slettes)"
30236123,"Electronically erasable programmable read only memory (EEPROM)","EEPROM (programmerbart minne til kun lesing som kan slettes elektronisk)"
30236200,"Data-processing equipment",Databehandlingsutstyr
30237000,"Parts, accessories and supplies for computers","Deler, tilbehør og materiell til datamaskiner"
30237100,"Parts of computers","Deler til datamaskiner"
30237110,"Network interfaces",Nettverksgrensesnitt
30237120,"Computer ports",Datamaskinporter
30237121,"Serial infrared ports","Serielle infrarøde porter"
30237130,"Computer cards",Datamaskinkort
30237131,"Electronic cards","Elektroniske kort"
30237132,"Universal Serial Bus (USB) Interfaces","USB grensesnitt"
30237133,"Personal Computer Memory Card International Association (PCMCIA) adaptors and interfaces","PCMCIA (Personal Computer Memory Card International Association) adaptere og grensesnitt"
30237134,"Graphic accelerator cards",Grafikkort
30237135,"Network interfaces cards",Nettverkskort
30237136,"Audio cards",Lydkort
30237140,Motherboards,Hovedkort
30237200,"Computer accessories","Tilbehør til datamaskiner"
30237210,"Anti-glare screens",Antirefleksskjermer
30237220,Mousepads,Musmatter
30237230,Caches,"Høyhastighets bufferlagre"
30237240,"Web camera",Webkamera
30237250,"Computer cleaning accessories","Tilbehør til rengjøring av computere"
30237251,"Computer cleaning kits","Utstyrssett til rengjøring av computere"
30237252,"Pressurised air dusters","Trykkluftdoser til støvfjerning av computere"
30237253,"Dust covers for computer equipment","Støvdeksler til computerutstyr"
30237260,"Monitor wall mount arms","Veggmonteringsarm til skjerm"
30237270,"Portable computer carrying cases","Vesker til bærbare computere"
30237280,"Power supply accessories",Strømforsyningstilbehør
30237290,"Keyboard wrist rests",Håndleddsstøtter
30237295,Keyguards,Tastaturskjold
30237300,"Computer supplies",Datamaskinmateriell
30237310,"Font cartridges for printers","Fontkassetter til skrivere"
30237320,Diskettes,Disketter
30237330,"Digital Audio Tape (DAT) cartridges","DAT-kassetter (Digital Audio Tape)"
